순위,이름,브랜드,세일전,세일후
01,[온라인 단독] 나인위시스 하이드라 스킨 앰플 세럼 1+1 기획세트,나인위시스,"19,500","19,500원 "
02,클리오 킬커버 광채쿠션 기획세트,클리오,"32,000","22,400원 "
03,셀퓨전씨 토닝 썬스크린 100 1+1 기획 SPF50/PA++++,셀퓨전씨,"27,900","23,850원 "
04,[온라인단독] 피치씨 소프트 무드 아이섀도우 팔레트 #소프트코랄,피치씨,"32,000","22,200원 "
05,"보다나 글램웨이브 봉고데기 핑크 36mm,40mm 택1",보다나,"77,000","67,000원 ~"
06,구달 청귤 비타C 잡티세럼 30ml 기획_NEW,구달,"24,000","19,200원 "
07,아임프롬 머그워트 에센스 160ml,아임프롬,"40,000","28,000원 "
08,3CE 무드레시피 멀티 아이 컬러 팔레트 8.1g,3CE,"38,000","30,400원 "
09,닥터지 레드블레미쉬클리어수딩크림 증량 UP 기획세트,닥터지,"36,000","28,800원 "
10,[온라인단독]마녀공장 퓨어 클렌징오일 200ml 더블 기획세트(50ml추가증정),마녀공장,"35,000","32,000원 "
11,[온라인단독] 올리브영케어플러스 상처커버 스팟패치 42+42매 X2 더블기획 (총168매),올리브영,"12,000","9,900원 "
12,셀퓨전씨 레이저 썬스크린 35mlx2개 [SPF50+/PA+++],셀퓨전씨,"29,400","27,900원 "
13,보다나 글램웨이브 봉고데기 36mm 벚꽃에디션(한정),보다나,"78,000","68,000원 "
14,[온라인단독] 메이크프렘 세이프미 릴리프 모이스처 클렌징폼 150ml 1+1 기획,메이크프렘,"16,000","16,000원 "
15,닥터지브라이트닝필링젤기획세트_NEW,닥터지,"19,000","14,300원 "
16,DHC 딥클렌징오일 200+70ml 기획,디에이치씨,"37,000","29,600원 "
17,3CE 벨벳 립 틴트 4g,3CE,"15,000","12,000원 "
18,클리오 킬커버 파운웨어 쿠션 XP 기획 (리필 포함 기획),클리오,"32,000","22,400원 ~"
19,[온라인단독] 메디힐 티트리 마스크 REX 10+10 더블기획 (20P),메디힐,"40,000","20,000원 "
20,샤오미 공기청정기 미에어 2,샤오미,"169,000","169,000원 "
21,[온라인단독] 케이트 핏 레어 젤 펜슬 더블세트,케이트,"32,000","21,000원 "
22,키스미 히로인메이크 스무스 리퀴드 아이라이너 (브라운/딥블랙),키스미,"18,000","10,000원 "
23,피지오겔 DMT 페이셜 크림 150ml,피지오겔,"39,700","23,800원 "
24,아임프롬 허니마스크 120g,아임프롬,"38,000","26,600원 "
25,"에끌라두 UV 오일프리 선크림 SPF50+, PA ++++ 기획",에끌라두,"28,000","23,800원 "
26,케이트 파우더리 스킨 메이커(NEW 15초 파운데이션),케이트,"32,000","21,500원 "
27,리리코스 마린에너지 카밍 퓨어 워터 320ml,리리코스 마린에너지,"20,000","10,000원 "
28,아임프롬 머그워트 마스크 110g,아임프롬,"35,000","18,500원 "
29,듀이셀 마스크팩 5P,듀이셀,"33,000","19,800원 "
30,[러쉬] 마스크 오브 매그너민티 315g - 페이스 & 보디 마스크,러쉬,"40,000","40,000원 "
31,러브 졸리 포 우먼 비키니 헤어 커팅 빗,러브졸리,"19,900","16,900원 "
32,앱솔루트 유기농 궁3단계800gx3캔,매일,"99,000","99,000원 "
33,바이오더마 센시비오500+500ml 듀오팩,바이오더마,"42,500","42,500원 "
34,[온라인단독]나트라케어 울트라날개형 중형12P*3팩,나트라케어,"23,700","17,900원 "
35,[온라인단독] 메디힐 워터마이드 하이드롭 에센셜 마스크 REX 10p,메디힐,"20,000","10,000원 "
36,아로마티카 퓨어 앤 소프트 여성청결제 170ml,아로마티카,"15,000","15,000원 "
37,보타닉힐보아이디얼포맨 퍼펙트 올인원 기획세트,보타닉힐보 아이디얼 포맨,"28,000","23,000원 "
38,필리밀리 V컷 파운데이션 브러시822 (기획세트),필리밀리,"13,000","13,000원 "
39,클리오킬브로우오토하드브로우펜슬,클리오,"20,000","16,000원 "
40,하기스 2018년 네이처메이드 팬티형 기저귀 3~6단계X2팩,하기스,"58,500","58,500원 "
41,고려은단 비타민C 골드 플러스 72정,고려은단,"23,000","11,500원 "
42,하기스 2018년 네이처메이드 밴드형 기저귀 1~2단계X3팩 / 3~5단계X2팩,하기스,"57,900","57,900원 "
43,프롬바이오 와일드망고 젤리(15포),프롬바이오,"29,000","17,400원 "
44,닥터지 그린 마일드 업 선 SPF50+ 기획 썬크림,닥터지,"28,000","21,000원 "
45,아벤느 젠틀 토닝 로션 100ml,아벤느,"17,200","6,900원 "
46,유세린 더머토 클린 리프레싱 클렌징 젤 1+1 기획세트,유세린,"26,000","26,000원 "
47,블리블리 인진쑥 밸런스 에센스 150ml,블리블리,"43,000","43,000원 "
48,제이숲 퍼플제이워터팩 스페셜에디션 200ml+30ml,제이숲,"34,000","25,500원 "
49,키스미 히로인메이크  마스카라 EX (롱앤컬/볼륨앤컬),키스미,"18,000","10,000원 ~"
50,라끄베르 옴므 리차지 올인원에센스 1+1 기획세트,라끄베르,"28,000","22,400원 "
51,[온라인단독] 드림웍스 아임더리얼 슈렉팩 110gX3 트리플기획,드림웍스,"32,000","25,600원 "
52,코드 글로컬러 엘.픽스-온 프라이머 기획 (퍼프 내장),코드,"20,000","20,000원 "
53,코스알엑스 원스텝 오리지널 클리어 패드 70매X2 더블 기획 (온),코스알엑스,"29,700","27,900원 "
54,네오젠 더마로지 바이오 필 젠틀 거즈 필링 와인,네오젠,"22,900","13,740원 "
55,닥터지 약산성 클렌징 젤 폼 증정기획 200ml,닥터지,"22,000","16,500원 "
56,헐리우드48시간 947ml,그린몬스터,"35,000","24,500원 "
57,[러쉬] 마스크 오브 매그너민티 125g - 페이스 & 보디 마스크 팩,러쉬,"20,000","20,000원 "
58,경남 칼로아웃 30포,레모나,"16,500","9,900원 "
59,[온라인단독] 셀라피 에이리페어 크림 50ml,셀라피,"44,000","30,800원 "
60,나인위시스 화이트 톤업 바디 세럼,나인위시스,"24,000","12,000원 "
61,닥터지 브라이트닝 업 선 SPF50+기획 썬크림,닥터지,"31,000","23,250원 "
62,일동후디스 프리미엄 산양분유 2단계 3캔 (800g),일동,"137,700","137,700원 "
63,일동후디스 프리미엄 산양분유 1단계 3캔 (800g),일동,"137,700","137,700원 "
64,하기스 매직핏 팬티형 기저귀 3~6단계 남/여/공용,하기스,"66,900","66,900원 "
65,JMW BLDC 팬텀 로즈골드 드라이어 MS6001A,제이엠더블유,"89,000","89,000원 "
66,시카고 시카 더블 이펙트 앰플 30ml 기획세트(귀신앰플),시카고,"37,000","29,600원 "
67,셀퓨전씨 포스트알파 큐어 썬스크린 50ml+15ml 기획 SPF50+/PA++++,셀퓨전씨,"27,900","22,300원 "
68,[온라인단독] 아비브 껌딱지 시트 마스크 어성초 스티커 10P,아비브,"40,000","28,000원 "
69,리얼베리어 익스트림 크림 50ml,리얼베리어,"38,000","26,600원 "
70,라로슈포제 미셀라 클렌징워터 센시티브/리액티브 택 1 (400+100X2+똘러리앙 울트라 2ml),라로슈포제,"29,000","29,000원 "
71,[온라인단독] 셀라피 에이리페어 크림 100ml,셀라피,"69,000","58,650원 "
